id;titre;adrs_numvoie;adrs_typevoie;adrs_libvoie;adrs_codepostal;adrs_libcommune;adrg_libvoie;address_processed;adrg_pays;siteweb
W012007643;AMICALE DU COLLEGE YVON MORANDAT;62;RUE;Denis Girod;1000;Saint-Denis-lès-Bourg;62  rue Denis Girod;62  rue Denis Girod;FRANCE;
W012007644;AR-T-FACT (ARTFACT);390;CHEM1;de Chantemerle;1600;Saint-Didier-de-Formans;390  CHEMIN DE CHANTEMERLE;390  CHEMIN DE CHANTEMERLE;FRANCE;
W012007645;AMICALE DES ANCIENS SALARIES DE LA SOCIETE BAYARDON;1260;RTE;de Boissey;1290;Cruzilles-lès-Mépillat;1260  route de Boissey;1260  route de Boissey;FRANCE;
W012007646;DELLPROTO COMPETITION;;CHEM1;du Mont;1160;Druillat;chemin du Mont;chemin du Mont;FRANCE;
W012007647;PIC ET PIC ET VOL DE LAME;;PL;de l'Eglise;1140;Peyzieux-sur-Saône;180   de Salornay;180   de Salornay;FRANCE;
W012007648;MISSION INTERNATIONALE CHRETIENNE POUR LA COOPERATION EVANGELIQUE ET LE DEVELOPPEMENT ECONOMIQUE ET SOCIAL (MICCOEDES);13 bis;RUE;Tony Ferret;1000;Bourg-en-Bresse;13 Bis  rue Tony Ferret;13 Bis  rue Tony Ferret;FRANCE;
W012007649;LOS AMIGOS;55 G;RUE;Saint-Crépin;1851;Marboz;55G  rue Saint-Crépin;55G  rue Saint-Crépin;FRANCE;
W012007650;TALENT CACHE;48;PL;du Marché Emile Mery;1570;Manziat;23 chemin du Pré du By;23 chemin du Pré du By;FRANCE;
W012007651;DIAMA KOFO;21 Bis;AV;Bad Kreuznach;1000;Bourg-en-Bresse;21 Bis  avenue Bad Kreuznach;21 Bis  avenue Bad Kreuznach;FRANCE;
W012007652;SPABANFRI RACING TEAM;404;;Grande Route;1190;Ozan;404   Grande Route;404   Grande Route;FRANCE;
W012007653;GROUPE HEXOLITE;48;RUE;de Lyon;1800;Meximieux;48  rue de Lyon;48  rue de Lyon;FRANCE;
W012007654;CLOWN D'EN VIE;201;PL;du Marché;1330;Villars-les-Dombes;201  PLACE DU MARCHÉ;201  PLACE DU MARCHÉ;FRANCE;
W012007655;LES CHEVALIERS RHONALPINS;;PL;de la Mairie;1440;Viriat;Place de la Mairie;Place de la Mairie;FRANCE;http://chevaliersrhonalpins.wifeo.com
W012007656;CONSCRITS DE BAGE LA VILLE CLASSE EN 3;;;;1380;Bâgé-la-Ville;;  ;FRANCE;
W012007657;ASIA LYON;;;;1700;Miribel;;  ;FRANCE;
W012007658;LES CONSCRITS DE LA CLASSE 2004;;;;1660;Mézériat;;  ;FRANCE;
W012007659;AMICALE 05 DE VIRIAT;;;;1440;Viriat;;  ;FRANCE;
W012007660;ACNET;;;;1000;Bourg-en-Bresse;;  ;FRANCE;
W012007661;ASSOCIATION DES ANCIENS DE RHONE POULENC FILMS ET DE TORAY PLASTICS EUROPE DE SAINT MAURICE DE BEYNOST;32;RTE;de Genève;1700;Saint-Maurice-de-Beynost;;32 RTE de Genève;FRANCE;
W012007662;AU COIN DU LIVRE;;;;1380;Saint-Cyr-sur-Menthon;;  ;FRANCE;
W012007663;ICI ET AILLEURS;;;Chanal;1290;Biziat;24 ROUTE DE LA PETITE VEYLE;24 ROUTE DE LA PETITE VEYLE;FRANCE;
W012007664;KACIQUE;;;;1380;Saint-Cyr-sur-Menthon;;  ;FRANCE;
W012007665;ATELIER PENELOPE;;;;1340;Montrevel-en-Bresse;;  ;FRANCE;
W012007666;MANIFEST;;;;1340;Attignat;;  ;FRANCE;
W012007667;KART-3-2-AIN;;;;1250;Montagnat;;  ;FRANCE;
W012007668;ASSOCIATION MULTISPORTS;;;;1160;La    Tranclière;;  ;FRANCE;
W012007669;GENS DE LA LUNE;;;;1390;Saint-André-de-Corcy;;  ;FRANCE;
W012007670;JE.DE.NI.;;;;1390;Rancé;;  ;FRANCE;
W012007671;AMICALE DES MAIRES DU CANTON DE TREVOUX;146;PL;de l'Eglise;1600;Massieux;146 PLACE DE L'EGLISE;146 PLACE DE L'EGLISE;FRANCE;
W012007672;FINANÇONS NOS ENTREPRENEURS;222;CHEM1;de la Bergerie;1800;Saint-Jean-de-Niost;222  chemin de la Bergerie;222  chemin de la Bergerie;FRANCE;www.financonsnosentrepreneurs.org
W012007673;ASSOCIATION OENOLOGIQUE DYONISIENNE (A.O.D.);120;RUE;des Ecoles;1000;Saint-Denis-lès-Bourg;548 CHEMIN DES SAULES;548 CHEMIN DES SAULES;FRANCE;
W012007674;CULTURA LUSITANA ASSOCIATIVA DE RHONE ALPES;7 Bis;AV;Branly;1700;Saint-Maurice-de-Beynost;134 RUE DES MARRONNIERS;134 RUE DES MARRONNIERS;FRANCE;
W012007675;ASSOCIATION SPORTIVE DU COLLEGE DE PONT DE VAUX;31;RUE;Franche;1190;Pont-de-Vaux;31 rue Franche;31 rue Franche;FRANCE;
W012007676;CHANFANFARONS;34;RTE;de Dommartin;1570;Manziat;34  route de Dommartin;34  route de Dommartin;FRANCE;
W012007677;FRANÇAIS, BOUGEONS NOUS !;207;CHEM1;de la Prière;1600;Saint-Bernard;207  chemin de la Prière;207  chemin de la Prière;FRANCE;
W012007678;CATTLE DRIVE;;RTE;de Charnoz;1800;Meximieux;route DE CHARNOZ;route DE CHARNOZ;FRANCE;
W012007679;BOURG SAINT CHRISTOPHE TC 90;;;;1800;Bourg-Saint-Christophe;LE VILLAGE;LE VILLAGE;FRANCE;
W012007680;FOOT FAUTEUIL PAYS DE BAGE (FFPB);500;RTE;de Sulignat;1400;Châtillon-sur-Chalaronne;500 ROUTE DE SULIGNAT;500 ROUTE DE SULIGNAT;FRANCE;
W012007681;CORINNE MOLINA ECRIVAIN PUBLIC;19;RUE;du Moulin;1800;Meximieux;19  rue du Moulin;19  rue du Moulin;FRANCE;www.corinnemolina.jimdo.com
W012007682;BUREAU DES ETUDIANTS DE L'UNIVERSITE JEAN MOULIN A BOURG;2;RUE;du 23e RI;1000;Bourg-en-Bresse;2  RUE DU 23E RI;2  RUE DU 23E RI;FRANCE;
W012007683;INNER VOICE;28;RUE;Pierre-Colas;1330;Ambérieux-en-Dombes;129   du Coteau;129   du Coteau;FRANCE;
W012007684;ASSOCIATION DE DÉFENSE DE LA RURALITÉ A BRESSOLLES;;CHEM1;du Verfay;1360;Bressolles;chemin du Verfay;chemin du Verfay;FRANCE;
W012007685;LES SABOTS DE CHILOUP;959;RUE;du Mont Charvey;1250;Bohas-Meyriat-Rignat;65 CHEMIN DU MONT PARCIEU;65 CHEMIN DU MONT PARCIEU;FRANCE;
W012007686;AMICALE DE CHASSE AU GRES DES BOIS (ACGB);70;CHEM1;des Liavins;1440;Viriat;29 chemin de la Soutière;29 chemin de la Soutière;FRANCE;
