local_id;name;country;state;city;zip;street;url;industry
W011001292;MOZAIK;FRANCE;;Lagnieu;1150;56  ROUTE DU PORT;;
W011001293;DEBIAN-FACILE;FRANCE;;Perpignan;66000;32  RUE HENRI BOUTET;;
W011001294;DIRTY RACING;FRANCE;;Ceyzérieu;1350;  ;;
W011001295;AMICALE LES GAIS LURONS DU PLATEAU;FRANCE;;Hauteville-Lompnes;1110;LA MILLIèRE;;
W011001296;F. M. RALLYE SPORT;FRANCE;;Massignieu-de-Rives;1300;188  route des Vignes;;
W011001297;ASSOCIATION 'J'AIME LIRE';FRANCE;;Brégnier-Cordon;1300;  ;;
W011001298;BUGEY ROCK;FRANCE;;Villebois;1150;  ;;
W011001299;CLUB DES AMIS DES CHIENS;FRANCE;;Château-Gaillard;1500;  ;;
W011001300;AMICALE DU CORPS DES SAPEURS-POMPIERS DE SAINT-MARTIN DE BAVEL;FRANCE;;Saint-Martin-de-Bavel;1510;rue des Charmettes;;
W011001301;CULTURE 231;FRANCE;;Ambléon;1300;route de la Prairie;;
W011001302;AIN COEUR D'ART;FRANCE;;Tenay;1230;10  route des Vignes;;
W011001303;LE CLOS DES P'TITS LOUPS;FRANCE;;Douvres;1500;place de l'hôtel de ville;;
W011001304;VERSUS PRODUCTIONS;FRANCE;;Ambronay;1500;  ;;
